"Município","ibge","latitude","longitude","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2010 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2011 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2012 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2013 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2014 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2015 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2016 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2017 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2018 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2019 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2020 (-)"
"Cristal","4306056","-31.0046","-52.04359999999","...","...","...","...","...","...","...","...","...","...","..."
"Cristal do Sul","4306072","-27.45200000000","-53.24219999999","...","...","...","...","...","...","...","...","...","...","..."
"Cruz Alta","4306106","-28.645","-53.60479999999","295","222","273","190","258","205","204","332","324","347","262"
"Cruzaltense","4306130","-27.66440000000","-52.6492","...","...","...","...","...","...","...","...","...","...","..."
"Cruzeiro do Sul","4306205","-29.51480000000","-51.99280000000","...","...","...","...","...","...","...","...","...","...","..."
"David Canabarro","4306304","-28.38489999999","-51.84819999999","...","...","...","...","...","...","...","...","...","...","..."
"Derrubadas","4306320","-27.26419999999","-53.8645","...","...","...","...","...","...","...","...","...","...","..."
"Dezesseis de Novembro","4306353","-28.21900000000","-55.06170000000","...","...","...","...","...","...","...","...","...","...","..."
"Dilermando de Aguiar","4306379","-29.70540000000","-54.21220000000","...","...","...","...","...","...","...","...","...","...","..."
"Dois Irmãos","4306403","-29.58360000000","-51.08979999999","...","...","...","...","...","...","...","...","...","...","..."
"Dois Irmãos das Missões","4306429","-27.66209999999","-53.5304","...","...","...","...","...","...","...","...","...","...","..."
"Dois Lajeados","4306452","-28.98300000000","-51.83959999999","...","...","...","...","...","...","...","...","...","...","..."
"Dom Feliciano","4306502","-30.70039999999","-52.10260000000","...","...","...","...","...","...","...","...","...","...","..."
"Dom Pedrito","4306601","-30.9756","-54.66940000000","22","61","42","42","51","19","58","49","68","76","46"
"Dom Pedro de Alcântara","4306551","-29.36390000000","-49.85300000000","...","...","...","...","...","...","...","...","...","...","..."
"Dona Francisca","4306700","-29.61949999999","-53.36169999999","...","...","...","...","...","...","...","...","...","...","..."
"Doutor Maurício Cardoso","4306734","-27.51030000000","-54.35779999999","...","...","...","...","...","...","...","...","...","...","..."
"Doutor Ricardo","4306759","-29.084","-51.99710000000","...","...","...","...","...","...","...","...","...","...","..."
"Eldorado do Sul","4306767","-30.08470000000","-51.61869999999","...","0","0","2","1","2","1","4","3","0","0"
"Encantado","4306809","-29.23509999999","-51.8703","7","2","9","12","6","3","8","15","14","5","3"
"Encruzilhada do Sul","4306908","-30.54299999999","-52.52040000000","...","...","...","...","...","...","...","...","...","...","..."
"Engenho Velho","4306924","-27.706","-52.91449999999","...","...","...","...","...","...","...","...","...","...","..."
"Entre Rios do Sul","4306957","-27.52980000000","-52.73469999999","...","...","...","...","...","...","...","...","...","...","..."
"Entre-ijuís","4306932","-28.36860000000","-54.26859999999","...","...","...","...","...","...","...","...","...","...","..."
"Erebango","4306973","-27.85439999999","-52.3005","...","...","...","...","...","...","...","...","...","...","..."
"Erechim","4307005","-27.63639999999","-52.2697","510","76","813","79","1.020","595","586","598","570","521","457"
"Ernestina","4307054","-28.49769999999","-52.58359999999","...","...","...","...","...","...","...","...","...","...","..."
"Erval Grande","4307203","-27.39260000000","-52.57399999999","...","...","...","...","...","...","...","...","...","...","..."
"Erval Seco","4307302","-27.5443","-53.50050000000","...","...","...","...","...","...","...","...","...","...","..."
"Esmeralda","4307401","-28.0518","-51.19330000000","...","...","...","...","...","...","...","...","...","...","..."
"Esperança do Sul","4307450","-27.36029999999","-53.98910000000","...","...","...","...","...","...","...","...","...","...","..."
"Espumoso","4307500","-28.7286","-52.8461","...","...","...","...","...","...","...","...","...","...","..."
"Estação","4307559","-27.91349999999","-52.26350000000","...","...","...","...","...","...","...","...","...","...","..."
"Estância Velha","4307609","-29.65350000000","-51.1843","...","...","...","...","...","...","...","...","...","...","..."
"Esteio","4307708","-29.852","-51.18410000000","...","...","...","...","...","...","...","...","...","...","..."
"Estrela","4307807","-29.5016","-51.96050000000","0","0","0","1","7","17","10","27","23","7","22"
"Estrela Velha","4307815","-29.17129999999","-53.16389999999","...","...","...","...","...","...","...","...","...","...","..."
"Eugênio de Castro","4307831","-28.53150000000","-54.15059999999","...","...","...","...","...","...","...","...","...","...","..."
"Fagundes Varela","4307864","-28.8794","-51.7014","...","...","...","...","...","...","...","...","...","...","..."
"Farroupilha","4307906","-29.2227","-51.34190000000","77","52","133","127","111","170","145","129","116","86","67"
"Faxinal do Soturno","4308003","-29.57880000000","-53.44839999999","...","...","...","...","...","...","...","...","...","...","..."
"Faxinalzinho","4308052","-27.4238","-52.67889999999","...","...","...","...","...","...","...","...","...","...","..."
